plotID;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL10;1;0.00000;0.05230;1.07170;0.45540;0.27350;0.00000;0.23420;0.06970;0.07720;0.00000;18.07240;2.04740;4.59940;0.00000;0.00000;0.00000;0.00000;24
KBPL10;2;0.00000;0.03310;0.90640;0.29340;0.23340;0.00000;0.29750;0.06040;0.08280;0.00000;19.75290;1.25310;4.13700;0.00000;0.82650;0.05610;0.20000;24
KBPL10;3;0.00000;0.00000;0.57850;0.10380;0.12420;0.00000;0.23970;0.02580;0.05370;0.00000;3.32250;0.71220;0.95530;0.00000;0.16810;0.01200;0.03520;24
KBPL10;4;0.00000;0.00000;1.43950;0.07560;0.30890;0.00000;0.11020;0.00360;0.02400;0.00000;1.26730;0.11590;0.32550;0.00000;0.31680;0.01190;0.06980;24
KBPL10;O;4.12500;0.00000;11.99780;3.71050;3.20610;0.00000;1.54280;0.18620;0.33740;0.00000;9.61470;0.91530;2.24620;0.00000;0.96420;0.05340;0.20790;24
KBPL11;1;0.00000;0.00000;2.36930;0.60910;0.57950;0.00000;0.51520;0.05550;0.11460;0.00000;4.35830;1.17730;1.51700;0.00000;2.30860;0.11380;0.47380;24
KBPL11;2;0.00000;0.00000;1.27830;0.20800;0.31480;0.00000;0.19010;0.01620;0.04420;0.00000;7.34740;0.85380;1.60120;0.00000;0.34710;0.02000;0.07570;24
KBPL11;3;0.00000;0.00000;1.98360;0.16150;0.42360;0.00000;0.11020;0.00690;0.02460;0.00000;4.75500;0.20870;0.98820;0.00000;0.18180;0.00790;0.04010;24
KBPL11;4;0.00000;0.00000;0.38570;0.08390;0.12280;0.00000;0.35130;0.01480;0.07750;0.00000;12.02260;0.46570;2.61000;0.00000;1.16120;0.14870;0.25290;24
KBPL11;O;4.90625;0.00000;14.93180;4.09070;3.79410;0.00000;12.90970;0.52940;2.61430;0.00000;6.23540;0.63880;1.45850;0.00000;12.07580;0.91480;2.45020;24
KBPL12;1;0.00000;0.00000;1.88710;0.73900;0.47200;0.00000;1.04690;0.07950;0.21410;0.00000;16.68670;2.29620;3.62230;0.00000;0.46560;0.03770;0.10830;24
KBPL12;2;0.00000;0.00000;1.09920;0.34830;0.32210;0.00000;0.19280;0.02020;0.05110;0.00000;12.53500;2.04010;3.31160;0.00000;0.19560;0.01840;0.04360;24
KBPL12;3;0.00000;0.00000;0.74380;0.17670;0.18190;0.00000;0.21210;0.01870;0.05050;0.00000;11.32280;0.87550;2.59850;0.00000;2.01110;0.07210;0.41030;24
KBPL12;4;0.00000;0.00000;0.33060;0.07110;0.07910;0.00000;0.06750;0.01000;0.01950;0.00000;0.41600;0.12090;0.12160;0.00000;0.02480;0.00080;0.00510;24
KBPL12;O;4.81250;0.24110;16.73630;5.34240;4.42630;0.00000;3.06590;0.40020;0.75580;0.00000;45.69810;3.18500;11.75250;0.00000;1.30660;0.12650;0.37600;24
KBPL13;1;0.00000;0.00000;1.24250;0.61950;0.33960;0.00000;0.27820;0.05680;0.09800;0.00000;3.89000;0.62730;0.90960;0.00000;0.44080;0.04910;0.11990;16
KBPL13;2;0.00000;0.03030;0.59780;0.39260;0.15390;0.00000;0.12120;0.02390;0.04120;0.00000;6.76890;1.69450;2.22670;0.00000;0.00000;0.00000;0.00000;16
KBPL13;3;0.00000;0.03030;0.42980;0.20350;0.14170;0.00000;0.09640;0.00600;0.02410;0.00000;10.04450;0.71610;2.49320;0.00000;0.38840;0.03700;0.10230;16
KBPL13;4;0.00000;0.00000;0.19280;0.04070;0.05050;0.00000;0.00000;0.00000;0.00000;0.00000;0.57030;0.05880;0.15090;0.00000;0.21350;0.01330;0.05340;16
KBPL13;O;3.18750;1.03770;25.92400;5.45870;6.20800;0.00000;1.51520;0.23140;0.45380;0.00000;28.95440;3.84270;7.51910;0.00000;0.00000;0.00000;0.00000;16
KBPL14;1;0.00000;0.16810;1.41330;0.66890;0.41280;0.00000;0.37470;0.04370;0.09840;0.00000;4.08830;0.98510;1.20270;0.00000;0.53450;0.04820;0.13610;16
KBPL14;2;0.00000;0.00000;1.03590;0.31460;0.27040;0.00000;0.16530;0.03320;0.06120;0.00000;18.79970;2.64030;4.95000;0.00000;0.44080;0.04360;0.11590;16
KBPL14;3;0.00000;0.00000;0.70250;0.20060;0.17400;0.00000;0.15700;0.01520;0.03990;0.00000;0.78520;0.19890;0.29940;0.00000;0.12400;0.00770;0.03100;16
KBPL14;4;0.00000;0.00000;0.24240;0.07190;0.07910;0.00000;0.02070;0.00130;0.00520;0.00000;0.90500;0.19690;0.29530;0.00000;0.00000;0.00000;0.00000;16
KBPL14;O;3.90625;0.15150;16.37810;4.56120;4.55900;0.00000;0.87240;0.18450;0.26650;0.00000;5.57290;0.90990;1.49360;0.00000;4.21510;0.27450;1.05170;16
KBPL15;1;0.00000;0.04960;1.00000;0.65120;0.26230;0.00000;0.11300;0.01840;0.03370;0.00000;3.14610;0.74110;0.84030;0.00000;0.21210;0.02460;0.05880;16
KBPL15;2;0.00000;0.14050;1.25900;0.45970;0.28140;0.00000;0.10470;0.01520;0.03180;0.00000;10.94260;1.96430;3.53590;0.00000;0.23690;0.02740;0.06780;16
KBPL15;3;0.00000;0.00000;0.39120;0.13550;0.10720;0.00000;0.10190;0.02220;0.03230;0.00000;1.66400;0.44270;0.54130;0.00000;0.16810;0.01050;0.04200;16
KBPL15;4;0.00000;0.00000;0.21080;0.07310;0.06690;0.00000;0.04960;0.00590;0.01400;0.00000;2.05660;0.25980;0.53250;0.00000;0.10610;0.01680;0.03350;16
KBPL15;O;3.53125;0.00000;19.90910;5.85700;6.01430;0.00000;0.58770;0.11830;0.19130;0.00000;1.81830;0.30270;0.59630;0.00000;0.00000;0.00000;0.00000;16
KBPL16;1;0.00000;0.19280;1.14050;0.50860;0.23490;0.00000;0.18180;0.03030;0.06050;0.00000;13.73610;1.48130;3.39120;0.00000;0.27550;0.04490;0.08470;16
KBPL16;2;0.00000;0.04130;0.82920;0.30860;0.21250;0.00000;0.07440;0.01030;0.02340;0.00000;17.04480;1.35110;4.25950;0.00000;0.14880;0.00930;0.03720;16
KBPL16;3;0.00000;0.00000;0.20660;0.11120;0.05890;0.00000;0.13770;0.02690;0.04580;0.00000;21.29570;1.81150;5.30270;0.00000;0.08260;0.00590;0.02070;16
KBPL16;4;0.00000;0.00000;0.15150;0.06510;0.05550;0.00000;0.04960;0.00550;0.01340;0.00000;0.34440;0.06950;0.10570;0.00000;0.11980;0.01000;0.03090;16
KBPL16;O;4.87500;1.65300;14.60120;4.39600;3.24260;0.00000;0.71630;0.13170;0.21110;0.00000;13.55430;1.78700;3.64050;0.00000;2.08590;0.14380;0.52070;16
KBPL6;1;0.00000;0.00000;2.12130;0.80360;0.52460;0.00000;0.30030;0.06630;0.10520;0.00000;7.30060;1.28240;1.72130;0.00000;0.38570;0.02320;0.09070;24
KBPL6;2;0.00000;0.00000;1.06340;0.37650;0.26830;0.00000;0.10190;0.00910;0.02340;0.00000;8.84340;1.19550;2.19340;0.00000;0.16530;0.01450;0.04890;24
KBPL6;3;0.00000;0.00000;0.64190;0.17590;0.14670;0.00000;0.28100;0.01980;0.06760;0.00000;86.42250;8.89450;24.20920;0.00000;0.30860;0.02850;0.06440;24
KBPL6;4;0.00000;0.00000;0.29480;0.06000;0.07190;0.00000;0.05650;0.00710;0.01560;0.00000;3.05660;0.18890;0.65370;0.00000;0.59230;0.01850;0.12350;24
KBPL6;O;2.84375;0.22960;12.94820;4.48530;3.54830;0.00000;4.16000;0.31800;1.14640;0.00000;3.15440;0.36740;0.95400;0.00000;6.74960;0.30090;1.51200;24
NPL1;1;0.00000;0.00000;2.10480;0.69320;0.51540;0.00000;1.01110;0.10930;0.26500;0.00000;8.92880;3.21650;2.70070;0.00000;0.29480;0.01290;0.06970;24
NPL1;2;0.00000;0.04410;2.07720;0.56620;0.48470;0.00000;0.26720;0.02050;0.06060;0.00000;21.26820;4.91440;5.88700;0.00000;1.47390;0.16230;0.45570;24
NPL1;3;0.00000;0.00000;1.43530;0.39720;0.35230;0.00000;0.23690;0.02730;0.06500;0.00000;20.43070;4.53840;5.96380;0.00000;2.67230;0.15520;0.56330;24
NPL1;4;0.00000;0.00960;1.10610;0.18560;0.23230;0.00000;0.06060;0.00680;0.01900;0.00000;18.73770;3.14330;5.09800;0.00000;0.74110;0.02350;0.15120;24
NPL1;O;7.79688;0.07480;30.20200;8.94540;6.93350;0.00000;2.28270;0.19350;0.53860;0.00000;5.02780;1.71570;1.69700;0.00000;0.84300;0.10140;0.25000;24
NPL10;1;0.00000;0.00000;2.64470;1.08950;0.77960;0.00000;0.85400;0.21280;0.28820;0.00000;8.25660;2.08550;2.18980;0.00000;1.48770;0.09300;0.33270;24
NPL10;2;0.00000;0.00000;2.65030;0.36930;0.59580;0.00000;1.48770;0.08030;0.30850;0.00000;7.71110;1.30820;2.04410;0.00000;11.01980;0.42790;2.24080;24
NPL10;3;0.00000;0.00000;0.30580;0.06450;0.10040;0.00000;0.46830;0.03450;0.09960;0.00000;3.19570;0.43830;0.87430;0.00000;14.57090;1.71300;3.72570;24
NPL10;4;0.00000;0.00000;0.21210;0.01800;0.04830;0.00000;0.33060;0.01840;0.06830;0.00000;1.83750;0.09130;0.38000;0.00000;4.68200;0.52680;1.29010;24
NPL10;O;4.81250;0.23610;16.52970;7.96640;5.02400;0.00000;4.75690;0.41450;1.06530;0.00000;40.55280;7.88690;10.88690;0.00000;4.33900;0.64790;1.33510;24
NPL11;1;0.00000;0.00000;1.31140;0.64880;0.30250;0.00000;0.27550;0.05480;0.07710;0.00000;4.14890;1.06400;1.26520;0.00000;3.95060;0.27710;0.89650;24
NPL11;2;0.00000;0.00000;1.50970;0.30380;0.38830;0.00000;0.22040;0.03540;0.06080;0.00000;7.19320;1.44100;1.85630;0.00000;26.11960;1.72230;5.55130;24
NPL11;3;0.00000;0.00000;1.29480;0.14420;0.30480;0.00000;0.24240;0.01960;0.05690;0.00000;33.43400;2.18850;7.65250;0.00000;6.41900;0.26600;1.39740;24
NPL11;4;0.00000;0.00000;1.34170;0.12170;0.40070;0.00000;0.35950;0.02920;0.08810;0.00000;6.03150;0.63490;1.51920;0.00000;1.27420;0.09270;0.32670;24
NPL11;O;4.90625;0.34710;36.61320;6.46470;8.10040;0.00000;0.66120;0.13960;0.20490;0.00000;18.87820;3.35010;4.80840;0.00000;1.88990;0.19280;0.48920;24
NPL12;1;0.00000;0.00000;4.51810;1.19070;1.09840;0.00000;0.99730;0.17270;0.32980;0.00000;9.89020;2.09970;2.52980;0.00000;0.88160;0.10780;0.24560;24
NPL12;2;0.00000;0.00000;1.93950;0.55000;0.70490;0.00000;0.79890;0.06630;0.23590;0.00000;16.98700;3.63640;4.76050;0.00000;0.60330;0.03170;0.14720;24
NPL12;3;0.00000;0.00000;0.67220;0.17450;0.24040;0.00000;0.78520;0.03870;0.17720;0.00000;12.40000;1.15530;3.13840;0.00000;0.48760;0.03050;0.10400;24
NPL12;4;0.00000;0.00000;0.09090;0.00580;0.02570;0.00000;0.07440;0.00230;0.01800;0.00000;0.28930;0.00900;0.07020;0.00000;0.45460;0.01420;0.11020;24
NPL12;O;5.87500;0.02750;15.07410;4.79570;4.31660;0.00000;4.60530;0.62260;1.26220;0.00000;34.02900;4.39230;7.77990;0.00000;10.98670;0.88290;2.51600;24
NPL2;1;0.00000;0.04680;1.66400;0.59420;0.38830;0.00000;0.31960;0.07580;0.11290;0.00000;14.65630;2.91060;3.61010;0.00000;1.34990;0.14570;0.34270;24
NPL2;2;0.00000;0.00000;1.43260;0.46560;0.38500;0.00000;0.16530;0.02850;0.05240;0.00000;25.67610;4.03080;6.91140;0.00000;10.55140;0.47140;2.25250;24
NPL2;3;0.00000;0.00000;1.32240;0.41300;0.33740;0.00000;0.15150;0.00770;0.03340;0.00000;19.62620;2.38470;4.32020;0.00000;0.18730;0.00970;0.04490;24
NPL2;4;0.00000;0.00000;0.28930;0.09080;0.09250;0.00000;0.01380;0.00170;0.00420;0.00000;43.03220;1.65790;8.72810;0.00000;0.19280;0.00600;0.03940;24
NPL2;O;10.96875;0.00000;17.41120;9.78840;4.68260;0.00000;1.59170;0.17270;0.38280;0.00000;25.51080;2.53290;6.08610;0.00000;5.34460;0.28780;1.20090;24
NPL3;1;0.00000;0.00000;1.81000;0.56770;0.50310;0.00000;0.24790;0.02580;0.06500;0.00000;26.39790;3.58570;6.12810;0.00000;2.89270;0.29470;0.68890;24
NPL3;2;0.00000;0.00000;1.48770;0.41790;0.37740;0.00000;0.68870;0.03540;0.15780;0.00000;22.41150;4.60690;6.26440;0.00000;0.90910;0.05040;0.18810;24
NPL3;3;0.00000;0.00000;0.98080;0.30020;0.25520;0.00000;0.14330;0.00740;0.03160;0.00000;25.07820;3.49590;6.71650;0.00000;0.35540;0.01540;0.07670;24
NPL3;4;0.00000;0.00000;0.28240;0.10480;0.08720;0.00000;0.11020;0.00460;0.02270;0.00000;2.30860;0.22910;0.61070;0.00000;0.05510;0.00340;0.01560;24
NPL3;O;8.43750;4.62330;43.78710;13.75860;9.68790;0.00000;2.95240;0.25970;0.66950;0.00000;24.84410;2.93660;6.06130;0.00000;1.20300;0.09100;0.27190;24
NPL4;1;0.00000;0.11300;3.20950;0.72240;0.76180;0.00000;0.38570;0.05480;0.09740;0.00000;34.88580;7.49360;10.22500;0.00000;0.30300;0.03990;0.08580;24
NPL4;2;0.00000;0.00000;0.92290;0.26510;0.25090;0.00000;0.31130;0.02310;0.07030;0.00000;25.52450;1.84300;5.46760;0.00000;1.61440;0.14580;0.35490;24
NPL4;3;0.00000;0.00000;1.02480;0.14640;0.26600;0.00000;0.28380;0.04070;0.06630;0.00000;19.24050;2.46850;5.14220;0.00000;0.30860;0.01930;0.06580;24
NPL4;4;0.00000;0.00000;0.37740;0.14110;0.12630;0.00000;0.09920;0.01150;0.02750;0.00000;2.95330;0.56290;0.87600;0.00000;0.34440;0.02890;0.07490;24
NPL4;O;8.78125;0.03030;40.09540;13.04900;10.67960;0.00000;8.18220;0.84670;1.87740;0.00000;15.68560;2.76340;4.08360;0.00000;1.14790;0.12520;0.27960;24
NPL5;1;0.00000;0.00000;12.21540;1.19740;2.79550;0.00000;0.55100;0.05370;0.14640;0.00000;22.15250;2.12680;5.37410;0.00000;32.60750;2.59000;6.97840;24
NPL5;2;0.00000;0.00000;0.96420;0.27310;0.28940;0.00000;0.07990;0.00510;0.01960;0.00000;33.70400;3.37030;8.57790;0.00000;22.97620;0.72040;4.68930;24
NPL5;3;0.00000;0.00000;0.50140;0.11080;0.12870;0.00000;0.35810;0.01360;0.07300;0.00000;16.91530;1.88890;4.38930;0.00000;0.93670;0.03330;0.19190;24
NPL5;4;0.00000;0.00000;0.69560;0.15420;0.17850;0.00000;0.38570;0.01550;0.08090;0.00000;31.85260;1.93970;6.77400;0.00000;0.07580;0.00240;0.01550;24
