plotID;subplotID;instal;harvest;interval;root_bm_1;root_bm_2;comment
KBPL1;A;20.09.2018;18.12.2018;88;6.4170;0.0730;
KBPL1;B;20.09.2018;18.12.2018;88;132.1670;1.5020;
KBPL1;C;20.09.2018;18.12.2018;88;68.3330;0.7770;
KBPL1;D;20.09.2018;18.12.2018;88;36.6670;0.4170;
KBPL10;A;18.09.2019;19.12.2019;94;-9999;-9999;sample lost
KBPL10;A;18.12.2018;13.03.2019;91;-9999;-9999;sample lost
KBPL10;A;20.09.2018;18.12.2018;91;23.3330;0.2560;
KBPL10;A;14.06.2019;18.09.2019;85;24.3330;0.2860;
KBPL10;A;13.03.2019;14.06.2019;88;35.6670;0.4050;
KBPL10;B;18.12.2018;13.03.2019;85;11.3330;0.1330;
KBPL10;B;20.09.2018;18.12.2018;88;13.2500;0.1510;
KBPL10;B;18.09.2019;19.12.2019;91;15.0000;0.1650;
KBPL10;B;14.06.2019;18.09.2019;94;27.7500;0.2950;
KBPL10;B;13.03.2019;14.06.2019;91;33.4170;0.3670;
KBPL10;C;20.09.2018;18.12.2018;85;-9999;-9999;sample lost
KBPL10;C;18.09.2019;19.12.2019;88;-9999;-9999;sample lost
KBPL10;C;14.06.2019;18.09.2019;91;5.8330;0.0640;
KBPL10;C;13.03.2019;14.06.2019;94;88.2500;0.9390;
KBPL10;C;18.12.2018;13.03.2019;91;162.6670;1.7880;
KBPL10;D;20.09.2018;18.12.2018;88;-9999;-9999;
KBPL10;D;18.09.2019;19.12.2019;91;5.0000;0.0550;
KBPL10;D;18.12.2018;13.03.2019;85;39.7500;0.4680;
KBPL10;D;14.06.2019;18.09.2019;94;60.8330;0.6470;
KBPL10;D;13.03.2019;14.06.2019;91;167.7500;1.8430;
KBPL11;A;18.12.2018;13.03.2019;85;7.0000;0.0820;
KBPL11;A;14.06.2019;18.09.2019;94;11.2500;0.1200;
KBPL11;A;18.09.2019;19.12.2019;91;31.6670;0.3480;
KBPL11;A;13.03.2019;14.06.2019;91;45.8330;0.5040;
KBPL11;A;20.09.2018;18.12.2018;88;86.5000;0.9830;
KBPL11;B;13.03.2019;14.06.2019;91;13.3330;0.1470;
KBPL11;B;18.09.2019;19.12.2019;91;15.0000;0.1650;
KBPL11;B;14.06.2019;18.09.2019;94;35.0000;0.3720;
KBPL11;B;20.09.2018;18.12.2018;88;98.0000;1.1140;
KBPL11;B;18.12.2018;13.03.2019;85;211.5830;2.4890;
KBPL11;C;14.06.2019;18.09.2019;94;2.0000;0.0210;
KBPL11;C;18.12.2018;13.03.2019;85;7.0000;0.0820;
KBPL11;C;20.09.2018;18.12.2018;88;38.6670;0.4390;
KBPL11;C;18.09.2019;19.12.2019;91;60.8330;0.6680;
KBPL11;C;13.03.2019;14.06.2019;91;110.8330;1.2180;
KBPL11;D;20.09.2018;18.12.2018;88;2.6670;0.0300;
KBPL11;D;18.09.2019;19.12.2019;91;12.5000;0.1370;
KBPL11;D;14.06.2019;18.09.2019;94;49.1670;0.5230;
KBPL11;D;18.12.2018;13.03.2019;85;61.9170;0.7280;
KBPL11;D;13.03.2019;14.06.2019;91;68.2500;0.7500;
KBPL12;A;14.06.2019;18.09.2019;94;13.1670;0.1400;
KBPL12;A;18.12.2018;13.03.2019;85;30.1670;0.3550;
KBPL12;A;18.09.2019;19.12.2019;91;42.5000;0.4670;
KBPL12;A;13.03.2019;14.06.2019;91;109.5830;1.2040;
KBPL12;A;20.09.2018;18.12.2018;88;142.0830;1.6150;
KBPL12;B;14.06.2019;18.09.2019;94;-9999;-9999;sample lost
KBPL12;B;18.09.2019;19.12.2019;91;37.5000;0.4120;
KBPL12;B;20.09.2018;18.12.2018;88;52.2500;0.5940;
KBPL12;B;13.03.2019;14.06.2019;91;153.4170;1.6860;
KBPL12;B;18.12.2018;13.03.2019;85;172.9170;2.0340;
KBPL12;C;18.09.2019;19.12.2019;91;10.0000;0.1100;
KBPL12;C;14.06.2019;18.09.2019;94;16.6670;0.1770;
KBPL12;C;18.12.2018;13.03.2019;85;58.5000;0.6880;
KBPL12;C;13.03.2019;14.06.2019;91;96.1670;1.0570;
KBPL12;C;20.09.2018;18.12.2018;88;290.6670;3.3030;
KBPL12;D;20.09.2018;18.12.2018;88;-9999;-9999;sample lost
KBPL12;D;18.09.2019;19.12.2019;91;-9999;-9999;sample lost
KBPL12;D;14.06.2019;18.09.2019;91;25.8330;0.2840;
KBPL12;D;18.12.2018;13.03.2019;94;48.6670;0.5180;
KBPL12;D;13.03.2019;14.06.2019;85;93.0000;1.0940;
KBPL13;A;14.06.2019;18.09.2019;94;20.7500;0.2210;
KBPL13;A;18.09.2019;19.12.2019;91;63.3330;0.6960;
KBPL13;A;13.03.2019;14.06.2019;91;180.8330;1.9870;
KBPL13;B;14.06.2019;18.09.2019;91;-9999;-9999;sample lost
KBPL13;B;13.03.2019;14.06.2019;94;-9999;-9999;sample lost
KBPL13;B;18.09.2019;19.12.2019;91;130.4170;1.4330;
KBPL13;C;14.06.2019;18.09.2019;91;31.6670;0.3480;
KBPL13;C;18.09.2019;19.12.2019;94;31.6670;0.3370;
KBPL13;C;13.03.2019;14.06.2019;91;57.0830;0.6270;
KBPL13;D;14.06.2019;18.09.2019;94;34.7500;0.3700;
KBPL13;D;18.09.2019;19.12.2019;91;45.8330;0.5040;
KBPL13;D;13.03.2019;14.06.2019;91;248.9170;2.7350;
KBPL14;A;14.06.2019;18.09.2019;94;11.5000;0.1220;
KBPL14;A;18.09.2019;19.12.2019;91;19.1670;0.2110;
KBPL14;A;18.12.2018;13.03.2019;85;68.3330;0.8040;
KBPL14;A;13.03.2019;14.06.2019;91;197.3330;2.1680;
KBPL14;B;14.06.2019;18.09.2019;94;31.5830;0.3360;
KBPL14;B;18.09.2019;19.12.2019;91;37.5000;0.4120;
KBPL14;B;13.03.2019;14.06.2019;91;142.0830;1.5610;
KBPL14;B;18.12.2018;13.03.2019;85;184.7500;2.1740;
KBPL14;C;18.09.2019;19.12.2019;91;4.1670;0.0460;
KBPL14;C;14.06.2019;18.09.2019;94;24.6670;0.2620;
KBPL14;C;13.03.2019;14.06.2019;91;168.3330;1.8500;
KBPL14;C;18.12.2018;13.03.2019;85;310.0830;3.6480;
KBPL14;D;14.06.2019;18.09.2019;94;1.4170;0.0150;
KBPL14;D;18.09.2019;19.12.2019;91;11.6670;0.1280;
KBPL14;D;13.03.2019;14.06.2019;91;123.0000;1.3520;
KBPL14;D;18.12.2018;13.03.2019;85;417.5000;4.9120;
KBPL15;A;18.09.2019;19.12.2019;91;8.3330;0.0920;
KBPL15;A;14.06.2019;18.09.2019;94;58.5830;0.6230;
KBPL15;A;18.12.2018;13.03.2019;85;94.3330;1.1100;
KBPL15;A;13.03.2019;14.06.2019;91;148.1670;1.6280;
KBPL15;B;18.09.2019;19.12.2019;91;10.8330;0.1190;
KBPL15;B;18.12.2018;13.03.2019;85;34.8330;0.4100;
KBPL15;B;14.06.2019;18.09.2019;94;39.1670;0.4170;
KBPL15;B;13.03.2019;14.06.2019;91;80.6670;0.8860;
KBPL15;C;18.09.2019;19.12.2019;91;8.3330;0.0920;
KBPL15;C;14.06.2019;18.09.2019;94;24.2500;0.2580;
KBPL15;C;18.12.2018;13.03.2019;85;52.2500;0.6150;
KBPL15;C;13.03.2019;14.06.2019;91;191.4170;2.1030;
KBPL15;D;14.06.2019;18.09.2019;94;11.3330;0.1210;
KBPL15;D;18.09.2019;19.12.2019;91;39.1670;0.4300;
KBPL15;D;18.12.2018;13.03.2019;85;150.7500;1.7740;
KBPL15;D;13.03.2019;14.06.2019;91;175.8330;1.9320;
KBPL16;A;14.06.2019;18.09.2019;94;6.2500;0.0660;
KBPL16;A;18.09.2019;19.12.2019;91;51.6670;0.5680;
KBPL16;A;13.03.2019;14.06.2019;91;70.0000;0.7690;
KBPL16;B;14.06.2019;18.09.2019;94;9.4170;0.1000;
KBPL16;B;18.09.2019;19.12.2019;91;35.8330;0.3940;
KBPL16;B;13.03.2019;14.06.2019;91;60.5830;0.6660;
KBPL16;C;14.06.2019;18.09.2019;94;5.0830;0.0540;
KBPL16;C;18.09.2019;19.12.2019;91;20.0000;0.2200;
KBPL16;C;13.03.2019;14.06.2019;91;104.8330;1.1520;
KBPL16;D;18.09.2019;19.12.2019;91;35.8330;0.3940;
KBPL16;D;14.06.2019;18.09.2019;94;58.5000;0.6220;
KBPL16;D;13.03.2019;14.06.2019;91;103.3330;1.1360;
KBPL4;A;20.09.2018;18.12.2018;88;84.5000;0.9600;
KBPL4;B;20.09.2018;18.12.2018;88;16.6670;0.1890;
KBPL4;C;20.09.2018;18.12.2018;88;9.1670;0.1040;
KBPL4;D;20.09.2018;18.12.2018;88;12.1670;0.1380;
KBPL5;A;20.09.2018;18.12.2018;88;12.1670;0.1380;
KBPL5;B;20.09.2018;18.12.2018;88;62.5830;0.7110;
KBPL5;C;20.09.2018;18.12.2018;88;-9999;-9999;sample lost
KBPL5;D;20.09.2018;18.12.2018;88;38.3330;0.4360;
KBPL6;A;20.09.2018;18.12.2018;88;10.5000;0.1190;
KBPL6;A;18.09.2019;19.12.2019;91;25.0000;0.2750;
KBPL6;A;14.06.2019;18.09.2019;94;44.1670;0.4700;
KBPL6;A;18.12.2018;13.03.2019;85;47.6670;0.5610;
KBPL6;A;13.03.2019;14.06.2019;91;116.9170;1.2850;
KBPL6;B;20.09.2018;18.12.2018;88;23.3330;0.2650;
KBPL6;B;14.06.2019;18.09.2019;94;28.8330;0.3070;
KBPL6;B;18.09.2019;19.12.2019;91;45.0000;0.4950;
KBPL6;B;18.12.2018;13.03.2019;85;45.1670;0.5310;
KBPL6;B;13.03.2019;14.06.2019;91;253.3330;2.7840;
KBPL6;C;20.09.2018;18.12.2018;88;12.0830;0.1370;
KBPL6;C;18.12.2018;13.03.2019;85;24.9170;0.2930;
KBPL6;C;14.06.2019;18.09.2019;94;27.5000;0.2930;
KBPL6;C;18.09.2019;19.12.2019;91;33.3330;0.3660;
KBPL6;C;13.03.2019;14.06.2019;91;72.6670;0.7990;
KBPL6;D;18.12.2018;13.03.2019;85;5.6670;0.0670;
KBPL6;D;18.09.2019;19.12.2019;91;16.6670;0.1830;
KBPL6;D;14.06.2019;18.09.2019;94;32.9170;0.3500;
KBPL6;D;20.09.2018;18.12.2018;88;67.9170;0.7720;
KBPL6;D;13.03.2019;14.06.2019;91;101.8330;1.1190;
KBPL7;A;20.09.2018;18.12.2018;88;133.0000;1.5110;
KBPL7;B;20.09.2018;18.12.2018;88;31.2500;0.3550;
KBPL7;C;20.09.2018;18.12.2018;88;60.0830;0.6830;
KBPL7;D;20.09.2018;18.12.2018;88;65.8330;0.7480;
KBPL8;A;20.09.2018;18.12.2018;88;0.3330;0.0040;
KBPL8;B;20.09.2018;18.12.2018;88;-9999;-9999;sample lost
KBPL8;C;20.09.2018;18.12.2018;88;8.7500;0.0990;
KBPL8;D;20.09.2018;18.12.2018;88;4.4170;0.0500;
KBPL9;A;20.09.2018;18.12.2018;88;9.0830;0.1030;
KBPL9;B;20.09.2018;18.12.2018;88;-9999;-9999;sample lost
KBPL9;C;20.09.2018;18.12.2018;88;32.9170;0.3740;
KBPL9;D;20.09.2018;18.12.2018;88;19.3330;0.2200;
NPL1;A;10.12.2918;16.03.2019;96;9.1670;0.0950;
NPL1;A;25.09.2019;27.12.2019;92;25.0000;0.2720;
NPL1;A;24.06.2019;25.09.2019;91;42.2500;0.4640;
NPL1;A;16.03.2019;24.06.2019;98;56.3330;0.5750;
NPL1;A;07.09.2018;10.12.2918;93;71.8330;0.7720;
NPL1;B;24.06.2019;25.09.2019;91;-9999;-9999;sample lost
NPL1;B;16.03.2019;24.06.2019;98;4.7500;0.0480;
NPL1;B;10.12.2918;16.03.2019;96;12.5000;0.1300;
NPL1;B;07.09.2018;10.12.2918;93;21.2500;0.2280;
NPL1;B;25.09.2019;27.12.2019;92;49.1670;0.5340;
NPL1;C;07.09.2018;10.12.2918;93;8.5000;0.0910;
NPL1;C;10.12.2918;16.03.2019;96;12.5000;0.1300;
NPL1;C;24.06.2019;25.09.2019;91;15.1670;0.1670;
NPL1;C;16.03.2019;24.06.2019;98;16.5830;0.1690;
NPL1;C;25.09.2019;27.12.2019;92;30.0000;0.3260;
NPL1;D;10.12.2918;16.03.2019;96;18.3330;0.1910;
NPL1;D;25.09.2019;27.12.2019;92;49.1670;0.5340;
NPL1;D;07.09.2018;10.12.2918;93;60.5000;0.6510;
NPL1;D;24.06.2019;25.09.2019;91;76.6670;0.8420;
NPL1;D;16.03.2019;24.06.2019;98;198.8330;2.0290;
NPL10;A;10.12.2918;16.03.2019;96;12.5000;0.1300;
NPL10;A;16.03.2019;24.06.2019;98;14.4170;0.1470;
NPL10;A;24.06.2019;25.09.2019;91;48.0830;0.5280;
NPL10;A;25.09.2019;27.12.2019;92;48.3330;0.5250;
NPL10;A;07.09.2018;10.12.2918;93;78.4170;0.8430;
NPL10;B;16.03.2019;24.06.2019;98;6.5830;0.0670;
NPL10;B;25.09.2019;27.12.2019;92;7.5000;0.0820;
NPL10;B;10.12.2918;16.03.2019;96;10.8330;0.1130;
NPL10;B;07.09.2018;10.12.2918;93;25.7500;0.2770;
NPL10;B;24.06.2019;25.09.2019;91;26.9170;0.2960;
NPL10;C;10.12.2918;16.03.2019;96;10.0000;0.1040;
NPL10;C;16.03.2019;24.06.2019;98;12.8330;0.1310;
NPL10;C;07.09.2018;10.12.2918;93;25.1670;0.2710;
NPL10;C;25.09.2019;27.12.2019;92;42.5000;0.4620;
NPL10;C;24.06.2019;25.09.2019;91;141.3330;1.5530;
NPL10;D;10.12.2918;16.03.2019;96;8.3330;0.0870;
NPL10;D;16.03.2019;24.06.2019;98;15.5000;0.1580;
NPL10;D;24.06.2019;25.09.2019;91;32.6670;0.3590;
NPL10;D;25.09.2019;27.12.2019;92;34.1670;0.3710;
NPL10;D;07.09.2018;10.12.2918;93;36.6670;0.3940;
NPL11;A;16.03.2019;24.06.2019;98;5.4170;0.0550;
NPL11;A;10.12.2918;16.03.2019;96;6.6670;0.0690;
NPL11;A;25.09.2019;27.12.2019;92;7.5000;0.0820;
NPL11;A;24.06.2019;25.09.2019;91;11.8330;0.1300;
NPL11;A;07.09.2018;10.12.2918;93;71.0000;0.7630;
NPL11;B;10.12.2918;16.03.2019;96;-9999;-9999;sample lost
NPL11;B;25.09.2019;27.12.2019;92;8.3330;0.0910;
NPL11;B;07.09.2018;10.12.2918;93;37.7500;0.4060;
NPL11;B;24.06.2019;25.09.2019;91;43.0830;0.4730;
NPL11;B;16.03.2019;24.06.2019;98;59.0000;0.6020;
NPL11;C;10.12.2918;16.03.2019;96;3.3330;0.0350;
NPL11;C;16.03.2019;24.06.2019;98;9.3330;0.0950;
NPL11;C;24.06.2019;25.09.2019;91;65.7500;0.7230;
NPL11;C;25.09.2019;27.12.2019;92;96.6670;1.0510;
NPL11;C;07.09.2018;10.12.2918;93;106.0000;1.1400;
NPL11;D;10.12.2918;16.03.2019;96;7.5000;0.0780;
NPL11;D;24.06.2019;25.09.2019;91;13.0000;0.1430;
NPL11;D;25.09.2019;27.12.2019;92;21.6670;0.2360;
NPL11;D;07.09.2018;10.12.2918;93;45.7500;0.4920;
NPL11;D;16.03.2019;24.06.2019;98;78.8330;0.8040;
NPL12;A;10.12.2918;16.03.2019;96;-9999;-9999;sample lost
NPL12;A;24.06.2019;25.09.2019;91;7.8330;0.0860;
NPL12;A;25.09.2019;27.12.2019;92;31.6670;0.3440;
NPL12;A;16.03.2019;24.06.2019;98;36.0000;0.3670;
NPL12;A;07.09.2018;10.12.2918;93;84.2500;0.9060;
NPL12;B;10.12.2918;16.03.2019;96;10.8330;0.1130;
NPL12;B;25.09.2019;27.12.2019;92;72.5000;0.7880;
NPL12;B;24.06.2019;25.09.2019;91;78.9170;0.8670;
NPL12;B;07.09.2018;10.12.2918;93;102.4170;1.1010;
NPL12;B;16.03.2019;24.06.2019;98;228.6670;2.3330;
NPL12;C;25.09.2019;27.12.2019;92;13.3330;0.1450;
NPL12;C;10.12.2918;16.03.2019;96;24.1670;0.2520;
NPL12;C;24.06.2019;25.09.2019;91;52.7500;0.5800;
NPL12;C;07.09.2018;10.12.2918;93;112.0830;1.2050;
NPL12;C;16.03.2019;24.06.2019;98;169.0830;1.7250;
NPL12;D;25.09.2019;27.12.2019;92;10.8330;0.1180;
NPL12;D;07.09.2018;10.12.2918;93;13.3330;0.1430;
NPL12;D;10.12.2918;16.03.2019;96;15.8330;0.1650;
NPL12;D;16.03.2019;24.06.2019;98;21.6670;0.2210;
NPL12;D;24.06.2019;25.09.2019;91;41.5000;0.4560;
NPL2;A;16.03.2019;24.06.2019;98;0.6670;0.0070;
NPL2;A;10.12.2918;16.03.2019;96;14.1670;0.1480;
NPL2;A;24.06.2019;25.09.2019;91;18.2500;0.2010;
NPL2;A;07.09.2018;10.12.2918;93;19.9170;0.2140;
NPL2;A;25.09.2019;27.12.2019;92;45.0000;0.4890;
NPL2;B;10.12.2918;16.03.2019;96;2.5000;0.0260;
NPL2;B;24.06.2019;25.09.2019;91;6.4170;0.0710;
NPL2;B;16.03.2019;24.06.2019;98;10.5000;0.1070;
NPL2;B;25.09.2019;27.12.2019;92;25.0000;0.2720;
NPL2;B;07.09.2018;10.12.2918;93;50.7500;0.5460;
NPL2;C;25.09.2019;27.12.2019;92;5.8330;0.0630;
NPL2;C;16.03.2019;24.06.2019;98;9.5000;0.0970;
NPL2;C;10.12.2918;16.03.2019;96;12.5000;0.1300;
NPL2;C;07.09.2018;10.12.2918;93;20.5830;0.2210;
NPL2;C;24.06.2019;25.09.2019;91;73.9170;0.8120;
NPL2;D;24.06.2019;25.09.2019;91;1.5830;0.0170;
NPL2;D;10.12.2918;16.03.2019;96;5.8330;0.0610;
NPL2;D;07.09.2018;10.12.2918;93;5.8330;0.0630;
NPL2;D;25.09.2019;27.12.2019;92;18.3330;0.1990;
NPL2;D;16.03.2019;24.06.2019;98;48.6670;0.4970;
NPL3;A;24.06.2019;25.09.2019;91;-9999;-9999;sample lost
NPL3;A;25.09.2019;27.12.2019;92;11.6670;0.1270;
NPL3;A;10.12.2918;16.03.2019;96;40.8330;0.4250;
NPL3;A;07.09.2018;10.12.2918;93;114.2500;1.2280;
NPL3;A;16.03.2019;24.06.2019;98;180.8330;1.8450;
NPL3;B;10.12.2918;16.03.2019;96;-9999;-9999;sample lost
NPL3;B;16.03.2019;24.06.2019;98;7.2500;0.0740;
NPL3;B;07.09.2018;10.12.2918;93;9.5000;0.1020;
NPL3;B;25.09.2019;27.12.2019;92;42.5000;0.4620;
NPL3;B;24.06.2019;25.09.2019;91;91.2500;1.0030;
NPL3;C;10.12.2918;16.03.2019;96;-9999;-9999;sample lost
NPL3;C;25.09.2019;27.12.2019;92;7.5000;0.0820;
NPL3;C;16.03.2019;24.06.2019;98;7.6670;0.0780;
NPL3;C;24.06.2019;25.09.2019;91;18.8330;0.2070;
NPL3;C;07.09.2018;10.12.2918;93;190.3330;2.0470;
NPL3;D;10.12.2918;16.03.2019;92;7.5000;0.0820;
NPL3;D;25.09.2019;27.12.2019;96;7.5000;0.0780;
NPL3;D;24.06.2019;25.09.2019;91;30.8330;0.3390;
NPL3;D;07.09.2018;10.12.2918;93;52.2500;0.5620;
NPL3;D;16.03.2019;24.06.2019;98;162.9170;1.6620;
NPL4;A;16.03.2019;24.06.2019;98;1.7500;0.0180;
NPL4;A;24.06.2019;25.09.2019;91;2.4170;0.0270;
NPL4;A;10.12.2918;16.03.2019;96;10.0000;0.1040;
NPL4;A;25.09.2019;27.12.2019;92;10.8330;0.1180;
NPL4;A;07.09.2018;10.12.2918;93;13.5000;0.1450;
NPL4;B;16.03.2019;24.06.2019;92;-9999;-9999;sample lost
NPL4;B;10.12.2918;16.03.2019;98;0.5000;0.0050;
NPL4;B;07.09.2018;10.12.2918;96;10.0000;0.1040;
NPL4;B;24.06.2019;25.09.2019;93;118.5830;1.2750;
NPL4;B;25.09.2019;27.12.2019;91;130.7500;1.4370;
NPL4;C;24.06.2019;25.09.2019;91;5.1670;0.0570;
NPL4;C;16.03.2019;24.06.2019;98;16.1670;0.1650;
NPL4;C;10.12.2918;16.03.2019;96;20.0000;0.2080;
