plotID;sampleID;sample_date;Pu_mean;Pu_sd;dect_limit;BD_m_soil;BD_O;BD_L
KBPL1;KBPL1.1L_Pu;05.05.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.2L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.3L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.4L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.2O_Pu;24.04.2018;0.02066;0.003;0;-9999;0.1;-9999
KBPL1;KBPL1.3O_Pu;24.04.2018;0.03768;0.00332;0;-9999;0.1;-9999
KBPL1;KBPL1.4O_Pu;24.04.2018;0.04191;0.0027;0;-9999;0.1;-9999
KBPL1;KBPL1.1O_Pu;24.04.2018;0.044;0.00363;0;-9999;0.1;-9999
KBPL1;KBPL1.4M_Pu;24.04.2018;-9999;-9999;1;1.11;-9999;-9999
KBPL1;KBPL1.2M_Pu;24.04.2018;0.04507;0.00614;0;1.11;-9999;-9999
KBPL1;KBPL1.3M_Pu;24.04.2018;0.0511;0.00812;0;1.11;-9999;-9999
KBPL1;KBPL1.1M_Pu;24.04.2018;0.06219;0.02087;0;1.11;-9999;-9999
KBPL10;KBPL10Comp_L_Pu;29.04.2018;-9999;-9999;1;-9999;-9999;0.04
KBPL10;KBPL10Comp_O_Pu;29.04.2018;0.01909;0.00244;0;-9999;0.09;-9999
KBPL10;KBPL10Comp_M2Pu;29.04.2018;-9999;-9999;1;1.19;-9999;-9999
KBPL10;KBPL10Comp_M1Pu;29.04.2018;0.04279;0.00696;0;1.12;-9999;-9999
KBPL11;KBPL11Comp_L_Pu;29.04.2018;-9999;-9999;1;-9999;-9999;0.04
KBPL11;KBPL11Comp_O_Pu;29.04.2018;0.01787;0.00187;0;-9999;0.11;-9999
KBPL11;KBPL11Comp_M1Pu;29.04.2018;-9999;-9999;1;1.09;-9999;-9999
KBPL11;KBPL11Comp_M2Pu;29.04.2018;-9999;-9999;1;1.17;-9999;-9999
KBPL12;KBPL12Comp_L_Pu;29.04.2018;0.02869;0.00369;0;-9999;-9999;0.04
KBPL12;KBPL12Comp_O_Pu;29.04.2018;0.0291;0.00089;0;-9999;0.06;-9999
KBPL12;KBPL12Comp_M2Pu;29.04.2018;-9999;-9999;1;1.18;-9999;-9999
KBPL12;KBPL12Comp_M1Pu;29.04.2018;0.02794;0.01202;0;1.06;-9999;-9999
KBPL2;KBPL2.5L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.6L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.7L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.7O_Pu;24.04.2018;0.01229;0.00323;0;-9999;0.1;-9999
KBPL2;KBPL2.6O_Pu;24.04.2018;0.01619;0.0015;0;-9999;0.1;-9999
KBPL2;KBPL2.5O_Pu;24.04.2018;0.0185;0.00331;0;-9999;0.1;-9999
KBPL2;KBPL2.5M_Pu;24.04.2018;0.05395;0.00507;0;1.11;-9999;-9999
KBPL2;KBPL2.7M_Pu;24.04.2018;0.05709;0.01762;0;1.11;-9999;-9999
KBPL2;KBPL2.6M_Pu;24.04.2018;0.07036;0.01148;0;1.11;-9999;-9999
KBPL3;KBPL3.10L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL3;KBPL3.8L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL3;KBPL3.9L_Pu;24.04.2018;0.01401;0.00493;0;-9999;-9999;0.08
KBPL3;KBPL3.9O_Pu;24.04.2018;0.01402;0.00495;0;-9999;0.1;-9999
KBPL3;KBPL3.10O_Pu;24.04.2018;0.03767;0.01441;0;-9999;0.1;-9999
KBPL3;KBPL3.8O_Pu;24.04.2018;0.17234;0.01011;0;-9999;0.1;-9999
KBPL3;KBPL3.10M_Pu;24.04.2018;0.0363;0.00592;0;1.11;-9999;-9999
KBPL3;KBPL3.8M_Pu;24.04.2018;0.04602;0.01098;0;1.11;-9999;-9999
KBPL3;KBPL3.9M_Pu;24.04.2018;0.04945;0.00551;0;1.11;-9999;-9999
KBPL4;KBPL4Comp_L_Pu;24.04.2018;0.01225;0.00291;0;-9999;-9999;0.05
KBPL4;KBPL4Comp_O_Pu;24.04.2018;0.04619;0.00217;0;-9999;0.11;-9999
KBPL4;KBPL4Comp_M_Pu;24.04.2018;-9999;-9999;1;1.06;-9999;-9999
KBPL5;KBPL5Comp_L_Pu;24.04.2018;0.00583;0.00019;0;-9999;-9999;0.05
KBPL5;KBPL5Comp_O_Pu;24.04.2018;0.05447;0.00274;0;-9999;0.11;-9999
KBPL5;KBPL5Comp_M_Pu;24.04.2018;0.03788;0.00149;0;1.15;-9999;-9999
KBPL6;KBPL6Comp_L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.04
KBPL6;KBPL6Comp_O_Pu;24.04.2018;0.01323;0.00023;0;-9999;0.07;-9999
KBPL6;KBPL6Comp_M_Pu;24.04.2018;0.05299;0.00283;0;1.37;-9999;-9999
KBPL7;KBPL7Comp_L_Pu;27.04.2018;-9999;-9999;1;-9999;-9999;0.06
KBPL7;KBPL7Comp_O_Pu;27.04.2018;0.02846;0.00149;0;-9999;0.16;-9999
KBPL7;KBPL7Comp_M_Pu;27.04.2018;-9999;-9999;1;1.15;-9999;-9999
KBPL8;KBPL8Comp_L_Pu;27.04.2018;0.00459;0.00142;0;-9999;-9999;0.06
KBPL8;KBPL8Comp_O_Pu;27.04.2018;0.04845;0.00285;0;-9999;0.13;-9999
KBPL8;KBPL8Comp_M_Pu;27.04.2018;0.04599;0.00593;0;1.02;-9999;-9999
KBPL9;KBPL9Comp_L_Pu;28.04.2018;0.0424;0.00564;0;-9999;-9999;0.09
KBPL9;KBPL9Comp_O_Pu;28.04.2018;0.03779;0.00459;0;-9999;0.12;-9999
KBPL9;KBPL9Comp_M_Pu;28.04.2018;0.04406;0.0075;0;1.06;-9999;-9999
NPL1;NPL1.1L_Pu;28.04.2018;-9999;-9999;1;-9999;-9999;0.02
NPL1;NPL1.2L_Pu;28.04.2018;-9999;-9999;1;-9999;-9999;0.02
NPL1;NPL1.3L_Pu;28.04.2018;-9999;-9999;1;-9999;-9999;0.02
NPL1;NPL1.4L_Pu;28.04.2018;-9999;-9999;1;-9999;-9999;0.02
NPL1;NPL1.4O_Pu;28.04.2018;0.04297;0.0061;0;-9999;0.14;-9999
NPL1;NPL1.2O_Pu;28.04.2018;0.05147;0.00402;0;-9999;0.14;-9999
NPL1;NPL1.3O_Pu;28.04.2018;0.05402;0.00341;0;-9999;0.14;-9999
NPL1;NPL1.1O_Pu;28.04.2018;0.05727;0.0042;0;-9999;0.14;-9999
NPL1;NPL1.1M_Pu;11.05.2018;0.0421;0.0069;0;1.07;-9999;-9999
NPL1;NPL1.2M_Pu;28.04.2018;0.04427;0.00672;0;1.07;-9999;-9999
NPL1;NPL1.3M_Pu;28.04.2018;0.09019;0.00555;0;1.07;-9999;-9999
NPL1;NPL1.4M_Pu;28.04.2018;0.12147;0.00152;0;1.07;-9999;-9999
NPL10;NPL10Comp_L_Pu;28.04.2018;-9999;-9999;1;-9999;-9999;0.02
NPL10;NPL10Comp_O_Pu;28.04.2018;0.01776;0.00109;0;-9999;0.08;-9999
NPL10;NPL10Comp_M2Pu;28.04.2018;-9999;-9999;1;1.81;-9999;-9999
NPL11;NPL11Comp_O_Pu;28.04.2018;0.18963;0.00708;0;-9999;0.08;-9999
NPL11;NPL11Comp_M2Pu;28.04.2018;-9999;-9999;1;1.65;-9999;-9999
NPL11;NPL11Comp_M1Pu;28.04.2018;0.08329;0.02371;0;1.54;-9999;-9999
NPL12;NPL12Comp_L_Pu;12.05.2018;-9999;-9999;1;-9999;-9999;0.01
NPL12;NPL12Comp_O_Pu;12.05.2018;0.01852;0.00425;0;-9999;0.11;-9999
NPL12;NPL12Comp_M1Pu;12.05.2018;0.05257;0.02404;0;1.32;-9999;-9999
NPL2;NPL2.5L_Pu;11.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL2;NPL2.6L_Pu;11.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL2;NPL2.7L_Pu;11.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL2;NPL2.5O_Pu;11.05.2018;-9999;-9999;1;-9999;0.11;-9999
NPL2;NPL2.6O_Pu;11.05.2018;0.03475;0.0011;0;-9999;0.11;-9999
NPL2;NPL2.7M_Pu;11.05.2018;-9999;-9999;1;1.25;-9999;-9999
NPL2;NPL2.6M_Pu;11.05.2018;0.03849;0.00337;0;1.25;-9999;-9999
NPL2;NPL2.5M_Pu;11.05.2018;0.05517;0.00877;0;1.25;-9999;-9999
NPL3;NPL3.8L_Pu;11.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL3;NPL3.9L_Pu;12.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL3;NPL3.9O_Pu;12.05.2018;0.01619;0.00697;0;-9999;0.08;-9999
NPL3;NPL3.10O_Pu;11.05.2018;0.01862;0.00057;0;-9999;0.08;-9999
NPL3;NPL3.8O_Pu;12.05.2018;0.04532;0.00151;0;-9999;0.08;-9999
NPL3;NPL3.8M_Pu;12.05.2018;-9999;-9999;1;1.42;-9999;-9999
NPL3;NPL3.9M_Pu;12.05.2018;-9999;-9999;1;1.42;-9999;-9999
NPL3;NPL3.10M_Pu;11.05.2018;0.06105;0.00829;0;1.42;-9999;-9999
NPL4;NPL4Comp_L_Pu;13.05.2018;-9999;-9999;1;-9999;-9999;0.02
NPL4;NPL4Comp_O_Pu;13.05.2018;0.07175;0.00501;0;-9999;0.11;-9999
NPL4;NPL4Comp_M_Pu;13.05.2018;0.05695;0.03012;0;1.56;-9999;-9999
NPL5;NPL5Comp_L_Pu;13.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL5;NPL5Comp_O_Pu;13.05.2018;0.03026;0.00225;0;-9999;0.09;-9999
NPL5;NPL5Comp_M_Pu;13.05.2018;0.03606;0.00995;0;1.64;-9999;-9999
NPL6;NPL6Comp_L_Pu;14.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL6;NPL6Comp_O_Pu;14.05.2018;0.04409;0.00252;0;-9999;0.1;-9999
NPL6;NPL6Comp_M_Pu;14.05.2018;0.08952;0.01614;0;1.37;-9999;-9999
NPL7;NPL7Comp_L_Pu;11.05.2018;0.00474;0.00059;0;-9999;-9999;0.02
NPL7;NPL7Comp_O_Pu;11.05.2018;0.03641;0.00244;0;-9999;0.14;-9999
NPL7;NPL7Comp_M_Pu;11.05.2018;0.0534;0.0062;0;1.13;-9999;-9999
NPL8;NPL8Comp_L_Pu;15.05.2018;-9999;-9999;1;-9999;-9999;0.01
NPL8;NPL8Comp_O_Pu;15.05.2018;0.04773;0.00231;0;-9999;0.1;-9999
NPL8;NPL8Comp_M_Pu;15.05.2018;0.06087;0.00681;0;1;-9999;-9999
NPL9;NPL9Comp_L_Pu;14.05.2018;-9999;-9999;1;-9999;-9999;0.03
NPL9;NPL_9Comp_O_Pu;28.04.2018;0.01137;0.00311;0;-9999;0.09;-9999
UPL1;UPL1.1L_Pu;27.04.2018;-9999;-9999;1;-9999;-9999;0.04
UPL1;UPL1.4L_Pu;27.04.2018;0.01042;0.00317;0;-9999;-9999;0.04
UPL1;UPL1.2L_Pu;27.04.2018;0.01351;0.00345;0;-9999;-9999;0.04
UPL1;UPL1.3L_Pu;27.04.2018;0.01564;0.00195;0;-9999;-9999;0.04
UPL1;UPL1.1O_Pu;27.04.2018;0.04138;0.00508;0;-9999;0.11;-9999
UPL1;UPL1.4O_Pu;27.04.2018;0.0468;0.00358;0;-9999;0.11;-9999
UPL1;UPL1.2O_Pu;27.04.2018;0.05253;0.003;0;-9999;0.11;-9999
UPL1;UPL1.3O_Pu;27.04.2018;0.07899;0.00155;0;-9999;0.11;-9999
UPL1;UPL1.2M_Pu;27.04.2018;0.03164;0.00362;0;1.44;-9999;-9999
UPL1;UPL1.1M_Pu;27.04.2018;0.03437;0.00615;0;1.44;-9999;-9999
UPL1;UPL1.3M_Pu;27.04.2018;0.05774;0.02727;0;1.44;-9999;-9999
UPL1;UPL1.4M_Pu;27.04.2018;0.09731;0.01616;0;1.44;-9999;-9999
UPL10;UPL10Comp_L_Pu;27.04.2018;0.01375;0.00153;0;-9999;-9999;0.03
UPL10;UPL10Comp_M2Pu;27.04.2018;-9999;-9999;1;1.93;-9999;-9999
UPL10;UPL10Comp_M1Pu;27.04.2018;0.04019;0.01124;0;1.95;-9999;-9999
UPL11;UPL11Comp_L_Pu;27.04.2018;0.0589;0.00294;0;-9999;-9999;0.03
UPL11;UPL11Comp_O_Pu;27.04.2018;0.12207;0.00452;0;-9999;0.09;-9999
UPL11;UPL11Comp_M2Pu;27.04.2018;0.01593;0.00692;0;1.92;-9999;-9999
UPL11;UPL11Comp_M1Pu;27.04.2018;0.03144;0.00425;0;1.73;-9999;-9999
UPL12;UPL12Comp_L_Pu;03.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL12;UPL12Comp_O_Pu;03.06.2018;0.06451;0.00601;0;-9999;0.1;-9999
UPL12;UPL12Comp_M2Pu;03.06.2018;-9999;-9999;1;1.98;-9999;-9999
UPL12;UPL12Comp_M1Pu;03.06.2018;0.02426;0.00313;0;1.75;-9999;-9999
UPL2;UPL2.5L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL2;UPL2.6L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL2;UPL2.7L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL2;UPL2.5O_Pu;31.06.2018;0.0309;0.00291;0;-9999;0.11;-9999
UPL2;UPL2.6O_Pu;31.06.2018;0.03691;0.00025;0;-9999;0.11;-9999
UPL2;UPL2.7O_Pu;31.06.2018;0.08652;0.00508;0;-9999;0.11;-9999
UPL2;UPL2.7M_Pu;31.06.2018;0.0351;0.00996;0;1.51;-9999;-9999
UPL2;UPL2.5M_Pu;31.06.2018;0.04006;0.00247;0;1.51;-9999;-9999
UPL2;UPL2.6M_Pu;31.06.2018;0.04062;0.01017;0;1.51;-9999;-9999
UPL3;UPL3.10L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL3;UPL3.8L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL3;UPL3.9L_Pu;31.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL3;UPL3.9O_Pu;31.06.2018;0.06175;0.00223;0;-9999;0.1;-9999
UPL3;UPL3.10O_Pu;31.06.2018;0.06278;0.00364;0;-9999;0.1;-9999
UPL3;UPL3.10M_Pu;31.06.2018;0.02797;0.00444;0;1.7;-9999;-9999
UPL3;UPL3.9M_Pu;31.06.2018;0.03555;0.00359;0;1.7;-9999;-9999
UPL3;UPL3.8M_Pu;31.06.2018;0.03642;0.00717;0;1.7;-9999;-9999
UPL4;UPL4Comp_L_Pu;31.06.2018;0.02493;0.0015;0;-9999;-9999;0.04
UPL4;UPL4Comp_O_Pu;31.06.2018;0.09947;0.00612;0;-9999;0.1;-9999
UPL4;UPL4Comp_M1Pu;31.06.2018;0.0726;0.01197;0;1.61;-9999;-9999
UPL5;UPL5Comp_L_Pu;02.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL5;UPL5Comp_O_Pu;02.06.2018;0.08066;0.00607;0;-9999;0.1;-9999
UPL5;UPL5Comp_M1Pu;02.06.2018;0.04887;0.00147;0;1.71;-9999;-9999
UPL6;UPL6Comp_L_Pu;02.06.2018;0.01025;0.00483;0;-9999;-9999;0.04
UPL6;UPL6Comp_O_Pu;02.06.2018;0.04658;0.00456;0;-9999;0.1;-9999
UPL6;UPL6Comp_M1Pu;02.06.2018;0.03397;0.00133;0;1.67;-9999;-9999
UPL7;UPL7Comp_L_Pu;02.06.2018;0.00963;0.00074;0;-9999;-9999;0.04
UPL7;UPL7Comp_O_Pu;02.06.2018;0.06961;0.00518;0;-9999;0.1;-9999
UPL7;UPL7Comp_M1Pu;02.06.2018;0.05381;0.00478;0;1.71;-9999;-9999
UPL8;UPL8Comp_L_Pu;04.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL8;UPL8Comp_O_Pu;04.06.2018;0.07703;0.00127;0;-9999;0.1;-9999
UPL8;UPL8Comp_M1Pu;04.06.2018;0.05008;0.00656;0;1.82;-9999;-9999
UPL9;UPL9Comp_L_Pu;04.06.2018;-9999;-9999;1;-9999;-9999;0.04
UPL9;UPL9Comp_O_Pu;04.06.2018;0.11522;0.00711;0;-9999;0.1;-9999
UPL9;UPL9Comp_M_Pu;04.06.2018;0.03061;0.00081;0;1.61;-9999;-9999
